,Name,Country,Language
0,Cristiano Ronaldo,PORTUGAL,PORTUGUESE
1,L. Messi,ARGENTINA,SPANISH
2,Neymar,BRAZIL,PORTUGUESE
3,L. Suárez,URUGUAY,SPANISH
4,M. Neuer,GERMANY,GERMAN
5,R. Lewandowski,POLAND,POLISH
6,De Gea,SPAIN,SPANISH
7,E. Hazard,BELGIUM,FRENCH
8,T. Kroos,GERMANY,GERMAN
9,G. Higuaín,ARGENTINA,SPANISH
10,Sergio Ramos,SPAIN,SPANISH
11,K. De Bruyne,BELGIUM,FRENCH
12,T. Courtois,BELGIUM,FRENCH
13,A. Sánchez,CHILE,SPANISH
14,L. Modrić,CROATIA,CROATIAN
15,G. Bale,WALES,ENGLISH
16,S. Agüero,ARGENTINA,SPANISH
17,G. Chiellini,ITALY,ITALIAN
18,G. Buffon,ITALY,ITALIAN
19,P. Dybala,ARGENTINA,SPANISH
20,J. Oblak,SLOVENIA,SLOVENIAN
21,A. Griezmann,FRANCE,OCCITAN
22,Thiago,SPAIN,SPANISH
23,P. Aubameyang,GABON,FRENCH
24,L. Bonucci,ITALY,ITALIAN
25,J. Boateng,GERMANY,GERMAN
26,D. Godín,URUGUAY,SPANISH
27,M. Hummels,GERMANY,GERMAN
28,M. Özil,GERMANY,GERMAN
29,H. Lloris,FRANCE,OCCITAN
30,Thiago Silva,BRAZIL,PORTUGUESE
31,Z. Ibrahimović,SWEDEN,SWEDISH
32,A. Robben,NETHERLANDS,FRISIAN
33,N. Kanté,FRANCE,OCCITAN
34,M. Verratti,ITALY,ITALIAN
35,P. Pogba,FRANCE,OCCITAN
36,C. Eriksen,DENMARK,DANISH
37,A. Vidal,CHILE,SPANISH
38,E. Cavani,URUGUAY,SPANISH
39,Marcelo,BRAZIL,PORTUGUESE
40,M. Hamšík,SLOVAKIA,SLOVAK
41,I. Rakitić,CROATIA,CROATIAN
42,David Silva,SPAIN,SPANISH
43,S. Handanovič,SLOVENIA,SLOVENIAN
44,Piqué,SPAIN,SPANISH
45,Iniesta,SPAIN,SPANISH
46,H. Kane,ENGLAND,ENGLISH
47,J. Rodríguez,COLOMBIA,SPANISH
48,Isco,SPAIN,SPANISH
49,D. Alaba,AUSTRIA,GERMAN
50,R. Lukaku,BELGIUM,FRENCH
51,Alex Sandro,BRAZIL,PORTUGUESE
52,T. Müller,GERMANY,GERMAN
53,Sergio Busquets,SPAIN,SPANISH
54,Coutinho,BRAZIL,PORTUGUESE
55,M. Reus,GERMANY,GERMAN
56,T. Alderweireld,BELGIUM,FRENCH
57,David Luiz,BRAZIL,PORTUGUESE
